Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,
23,9815355.169470303,450274.7071387174,8800.0,79200.0,8572.755039427795,2398.143079042673,67459.34706151093,64917.55400411219,116808.2117340657,15366.475672435266,113903.47519438987,13234.106537269427,118800.0,118755.3876620096,13200.959761571785,118800.0,13200.0,568504.5051550781,80809.62933332533,199711.19340584162,457154.5191688275,13200.0,118800.0,116603.61421061859,15596.352379184413,13200.243117325692,118799.99999868835,113484.18695412559,13709.059958435304,118800.0,118800.0,118800.0,
24,9815355.169470303,450229.97446715995,8800.0,79200.0,8511.679178650713,2450.2798662282285,67378.98826034876,64877.00266808047,116690.01629045629,15486.625909528804,113898.21449615786,13228.952067045668,118800.0,118756.01306306575,13200.79519145517,118800.0,13200.0,569936.534583553,79543.94181093365,198753.24046121677,458503.58110466064,13200.0,118800.0,116497.10548123415,15706.276082582632,13200.087411876777,118799.99999970144,113454.63295430862,13716.000855216722,118800.0,118800.0,118800.0,
25,9815355.169470303,450184.1046159085,8800.0,79200.0,8449.507838610414,2502.158136413943,67357.57394105477,64842.47710979619,116562.81156000785,15618.068073713168,113892.31439880628,13224.342370597047,118800.0,118756.3907028065,13200.771372737021,118800.0,13200.0,571251.1056306753,78404.86065347007,198186.47443117542,459389.05675980216,13200.0,118800.0,116398.49049680054,15812.621900244321,13200.029905668229,118799.99999993098,113428.89295780433,13722.181570182072,118800.0,118800.0,118800.0,
26,9815355.169470303,450138.6750972565,8800.0,79200.0,8389.221032708449,2554.220388848957,67309.78459099765,64865.5201567993,116435.4984437785,15748.380485184169,113887.91584768175,13223.208985782576,118800.0,118756.98547012388,13200.678802262104,118800.0,13200.0,572485.788068841,77362.8253113743,198052.34589222333,459857.5764500264,13200.0,118800.0,116294.95787182079,15928.746790311125,13200.009632922587,118799.99999998538,113404.83494270439,13727.270481186591,118800.0,118800.0,118800.0,
27,9815355.169470303,450088.66740343766,8800.0,79200.0,8326.557543626544,2605.421644453573,67258.84595783778,64887.41626939255,116303.72597590934,15879.44656415493,113885.36143625114,13222.915431955713,118800.0,118757.51696681305,13200.562305860494,118800.0,13200.0,573613.4292148354,76454.8270759418,198258.44236962197,459901.84130799305,13200.0,118800.0,116192.28418448771,16039.601942809659,13200.002907936265,118799.99999999696,113385.0800896415,13732.02381234562,118800.0,118800.0,118800.0,
28,9815355.169470303,450033.4393773033,8800.0,79200.0,8263.77420053753,2656.3507248067663,67192.90149766314,64936.187197287596,116174.41999783307,16009.492694112694,113876.55602781687,13221.126990722554,118800.0,118758.06831108373,13200.450765001273,118800.0,13200.0,574633.6330071365,75670.7252890141,198682.10676167393,459700.1675991646,13200.0,118800.0,116087.89424430158,16155.142427649636,13200.000823466045,118799.99999999937,113363.71176317433,13736.77857800656,118800.0,118800.0,118800.0,
29,9815355.169470303,449988.0201352102,8800.0,79200.0,8201.905215579118,2707.860883700704,67139.28123965058,64884.60848048414,116054.20376536495,16137.924787387125,113873.36641152194,13219.975199543711,118800.0,118758.77995371299,13200.385342529848,118800.0,13200.0,575579.1859367646,74968.51392443987,199503.57995589674,459112.894331029,13200.0,118800.0,115981.03756616557,16268.884441183844,13200.000217122302,118799.99999999988,113346.68894721831,13740.916544722213,118800.0,118800.0,118800.0,
30,9815355.169470303,449939.15043772064,8800.0,79200.0,8140.699492774245,2757.896327277251,67031.09432134114,64845.634617568445,115923.087116371,16263.595909371988,113866.45757785128,13219.772418377226,118800.0,118759.28147777381,13200.308129200796,118800.0,13200.0,576471.3007732428,74323.15799689539,200493.6736197454,458202.5285627278,13200.0,118800.0,115879.05855927563,16381.613066277012,13200.000052350946,118800.0,113333.78224913786,13745.175379341972,118800.0,118800.0,118800.0,
31,9815355.169470303,449905.19079806196,8800.0,79200.0,8082.751736466787,2807.3209172841066,66971.15837911272,64916.282898187754,115801.32621527411,16395.28907228245,113864.09404869296,13218.67132754471,118800.0,118759.77169166076,13200.26449968503,118800.0,13200.0,577286.0344695946,73718.58147354872,201729.74653049724,457125.22237812047,13200.0,118800.0,115773.88498554127,16500.024942616386,13200.000011788674,118800.0,113320.68372117252,13748.30463132762,118800.0,118800.0,118800.0,
32,9815355.169470303,449857.3423740928,8800.0,79200.0,8028.921191587456,2856.4959862055243,66896.35471585098,65000.446896037625,115672.12210759301,16523.511906152104,113861.82159579065,13217.112085855035,118800.0,118760.29524131965,13200.22256112741,118800.0,13200.0,578023.412126807,73202.863090133,203088.71445368673,455646.54136818316,13200.0,118800.0,115668.16675234822,16609.778628652137,13200.000002402237,118800.0,113306.90151142907,13751.031936441388,118800.0,118800.0,118800.0,
33,9815355.169470303,449815.90937026625,8800.0,79200.0,7980.451774029127,2904.5112208818427,66787.17315157173,65054.614960945204,115541.74664878682,16642.893395415314,113857.0269025279,13215.776916965197,118800.0,118760.90654451048,13200.182472198045,118800.0,13200.0,578720.7528494119,72751.7852632985,204693.0044312594,454022.9535089634,13200.0,118800.0,115563.9874350917,16723.785710946417,13200.0000004476,118800.0,113295.35627812623,13753.5777069929,118800.0,118800.0,118800.0,
34,9815355.169470303,449775.8374172196,8800.0,79200.0,7934.611888951523,2951.720002610576,66702.53847556464,65114.039925854864,115416.54649233822,16758.151532484433,113856.71424158054,13213.99309615869,118800.0,118761.48937183619,13200.16799508274,118800.0,13200.0,579346.9643372718,72343.38298542557,206404.78573222444,452112.363087887,13200.0,118800.0,115457.38915902773,16837.73583766592,13200.000000074298,118800.0,113284.60753537764,13756.235384534048,118800.0,118800.0,118800.0,
35,9815355.169470303,449729.91331756144,8800.0,79200.0,7893.699545645111,2998.6634971291587,66591.98254443565,65157.59488769051,115300.11668675177,16889.98435728327,113856.44787366161,13214.729643596114,118800.0,118762.16778936381,13200.139023325433,118800.0,13200.0,579924.4604628457,71969.61987355344,208253.0517233167,450097.48246525734,13200.0,118800.0,115351.90469749957,16950.976416572972,13200.000000010938,118800.0,113272.21506730776,13757.79527026046,118800.0,118800.0,118800.0,
36,9815355.169470303,449696.6865662281,8800.0,79200.0,7858.013344284341,3043.710468593199,66451.9744279852,65204.78825161222,115178.24223709549,17016.86934902549,113852.59654674664,13214.378470433869,118800.0,118762.66712456354,13200.112366558871,118800.0,13200.0,580459.3473273523,71630.95309473545,210112.63063327642,447912.4138658544,13200.0,118800.0,115243.39529542148,17066.175938556567,13200.000000001426,118800.0,113262.15840191115,13759.0011190231,118800.0,118800.0,118800.0,
37,9815355.169470303,449663.113750029,8800.0,79200.0,7826.405394027089,3088.550273982316,66327.3617751922,65270.24276101208,115052.73187668987,17134.715898864586,113850.56912248614,13213.073504230571,118800.0,118763.27975013212,13200.081812240918,118800.0,13200.0,580962.2487695878,71329.74639851267,212231.658900833,445611.38193100423,13200.0,118800.0,115135.79095748723,17179.259326687003,13200.000000000162,118800.0,113253.07373696932,13760.935467856614,118800.0,118800.0,118800.0,
38,9815355.169470303,449632.951583382,8800.0,79200.0,7798.373799137185,3130.7168126959086,66216.26435911543,65376.76167835542,114924.21834046862,17258.60588000509,113842.54326009673,13212.618926187382,118800.0,118763.78943751683,13200.065407972572,118800.0,13200.0,581402.0625609307,71058.46838459848,214653.8421059351,442961.0645791065,13200.0,118800.0,115022.32537823598,17293.763002734337,13200.000000000016,118800.0,113245.23652412414,13762.39985931182,118800.0,118800.0,118800.0,
39,9815355.169470303,449595.642107508,8800.0,79200.0,7772.353782974832,3173.0120306132767,66084.74155927426,65442.720575991065,114802.80846084404,17392.109844143117,113840.85276073775,13213.152355640148,118800.0,118764.37865146867,13200.073734402795,118800.0,13200.0,581831.8623089184,70808.80555392109,216964.15924906853,440193.7359948901,13200.0,118800.0,114912.3505892193,17407.18063019857,13200.0,118800.0,113236.65171694134,13765.201888683789,118800.0,118800.0,118800.0,
40,9815355.169470303,449559.7977911881,8800.0,79200.0,7749.218905161424,3215.836715615069,65961.21692526844,65550.20978595973,114684.7559554719,17516.73385642616,113836.6650192161,13212.671189501727,118800.0,118764.84064029755,13200.05687762125,118800.0,13200.0,582236.893389797,70577.09921205517,219417.60885252382,437409.19533046865,13200.0,118800.0,114805.72246605654,17519.39725245561,13200.0,118800.0,113231.5257706166,13766.754103515945,118800.0,118800.0,118800.0,
41,9815355.169470303,449519.9612254284,8800.0,79200.0,7726.7360035766815,3257.4851595855766,65841.36385472766,65651.12138098557,114547.66115972737,17633.468887939227,113831.93090954224,13212.65749591733,118800.0,118765.39213669144,13200.044409003594,118800.0,13200.0,582602.759835383,70364.10439866704,221891.7657837225,434530.10147680633,13200.0,118800.0,114696.94274797183,17633.883816243087,13200.0,118800.0,113224.48213923056,13768.0010520424,118800.0,118800.0,118800.0,
