Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,
34,0.09378643763053053,0.8464590561017467,0.03814524640750235,1.013958450319094,1.4602362583226913,0.010000000000000002,0.2223551697677056,0.1,1.5676156249410576,0.5317023901491443,1.601737462500505,1.9800000000000002,0.22000000000000003,0.22000000000000003,3.77484439210346,9.824378659165992,0.2,1.799996099757795,1.7995496845448522,1.4415165920441164,1.8746926271405346,
35,0.09292130154750043,0.7378539617616342,0.025304770551894642,0.7016699349006144,1.3865528700213503,0.010000000000000002,0.29978169053303505,0.1,1.734229334846595,0.6256693453989549,1.600366909500351,1.9800000000000002,0.22000462512670604,0.22001873585792095,3.127069535106511,9.459785983730493,0.2,1.799947397736857,1.799915951804618,1.241210554520702,1.7062808999344994,
36,0.08871582484285392,0.6785156934461225,0.015323133542474172,0.5055400675340213,1.1696521822384462,0.010053240821050318,0.34225210442825355,0.1,1.9398712939566611,0.7328591702844302,1.6098224464543198,1.9800000000000002,0.2202667357566183,0.22037326037756463,2.5105130811466907,8.713020520402512,0.2,1.799462535601131,1.7995345373313947,1.0576821610250802,1.577107437724126,
37,0.0819608203538937,0.6615378812088164,0.011233123729009899,0.42279731355645006,0.906345272929648,0.01034286224757062,0.41123712259147627,0.10000026329022373,2.143601223244603,0.8963852539888499,1.6780599592573235,1.9800000000000002,0.2247752946736273,0.22345881058104328,1.9283475590242243,7.6173621759856935,0.2,1.7944078953551472,1.7960719323416874,0.9374191535314308,1.514774721845782,
38,0.07442833654477633,0.6734137293917389,0.010287294984890581,0.4033201245649382,0.6868683341630071,0.010283011651767851,0.4929085428508867,0.10000054125049325,2.179455984751846,1.0610978357679997,1.9558619414750025,1.9800000000000002,0.25943239799687356,0.23737262133684933,1.4297926043793159,6.131795208743135,0.2,1.7593282458277486,1.7811836890248556,0.9219004804858582,1.5096354366307125,
39,0.06855600903396684,0.7112808715890654,0.010104550779506338,0.40044793237221415,0.5453859175254373,0.01030693366031254,0.5513764299114031,0.10000290132192614,2.112626490438487,1.216407290612626,2.734006266422011,1.9800000000000002,0.4180589142551422,0.28969494057665063,1.0628273306903013,4.548088742757944,0.2,1.6050689349865308,1.7273343815915245,0.9642590600333895,1.5367925851141213,
40,0.06476195477416637,0.764042561774174,0.010160791231248183,0.4000995334449948,0.46938722637348906,0.011068029089423401,0.608619287844343,0.10012940298101186,1.9566367058340564,1.3121043078633745,4.235047174781725,1.9800000000000002,0.7988961673889743,0.4454079328009792,0.8684815519067864,3.0037759980674625,0.2,1.2487326000675143,1.5707473842695572,1.0770861758590478,1.606870320828411,
41,0.06259656862088019,0.8195957387424544,0.010593663311661098,0.40005676938275053,0.4313936441558521,0.013093898003131807,0.6282774369026645,0.10410363673972453,1.705628696061412,1.3220313807977273,6.609602912679699,1.9800000000000002,1.4277702221166,0.7042782377122078,0.8824528587796651,1.8225509872565122,0.2,0.6834410580131838,1.3165271403974579,1.2881865637892582,1.739188146677233,
42,0.06127208569948926,0.8700025292057484,0.011836031372330691,0.4001273526160103,0.4133037276851153,0.016898050325312153,0.6059896853807373,0.14731008232963347,1.3788070123480314,1.2581205353827491,9.549097336942861,1.9800000000000002,1.9522022684879135,1.2689421527479254,1.0605595838735016,1.3624214104921888,0.2,0.22404699120126687,0.8067056177900825,1.6071882377289954,1.9316206953999242,
43,0.06062158296128139,0.9113102580101965,0.014302563461020637,0.401190416214709,0.4052135526798668,0.022386720267690445,0.532671348757653,0.25383132402823055,0.9563138704185657,1.0922710192795353,12.301714512262508,1.9800000000000002,1.9784095313071812,1.964329523110947,1.5831173578422417,1.235724114051431,0.2,0.20095804966214312,0.21211103979836526,2.039940649211217,2.199608586474217,
44,0.06027392794381139,0.9441706079940694,0.018137076866106553,0.41304006009635613,0.40231016977246903,0.025706060923728163,0.38016577916868644,0.414258956486639,0.46924653091562674,0.7505950567250672,13.773702610888542,1.9800000000000002,1.969074066212188,1.9795832864075218,2.5021000243098452,1.2093082894923943,0.2,0.205988955703116,0.20024715834484264,2.5351363185432674,2.561670537916604,
45,0.06021640041128546,0.9684997795977547,0.023381590723972837,0.4703802630297442,0.4037231381171908,0.016660573572313552,0.20607646557504208,0.47921118535476603,0.3285104577324305,0.42099175493295027,13.667177462496127,1.9800000000000002,1.9298524489896074,1.976909327072932,3.145213407732897,1.2857578206398794,0.2,0.23167612297238308,0.20163730979815048,2.6810227680554166,2.6856281462893037,
46,0.060771692071309655,1.0042117490746105,0.030115874776513105,0.5685067633463345,0.4163602766393308,0.010141751814253749,0.1069883254481262,0.4803446434388908,0.32263333942171124,0.2063131872186067,12.662450493877612,1.9800000000000002,1.83735100868549,1.9623028277895813,3.746751920614507,1.6718234578609157,0.2,0.2993651842867329,0.2100139309123307,2.68722140072273,2.6911558188147375,
47,0.0627823802288248,1.0191531971995913,0.03959743533054471,0.6865757046403208,0.45246613390008167,0.010000047247462411,0.10001676378345785,0.43826301938600143,0.32630771621362736,0.20006337541296498,11.140984224530428,1.9800000000000002,1.6811397370649157,1.925358727617012,4.291477713112888,2.5010815690878965,0.2,0.42330485182350375,0.23279873464336262,2.6782850184124096,2.6842989100688452,
48,0.06636868511507216,1.021726989432029,0.04925535354368707,0.8703859780723232,0.5210403850145721,0.010000000000110112,0.10006625099318178,0.37102233064953577,0.3479218170299195,0.20011389164943638,9.79978580166136,1.9800000000000002,1.359219810454622,1.8614063130534761,4.80653166432803,3.5529384883212094,0.2,0.7076713523012057,0.27561997683853623,2.6467774745276973,2.6584532695929997,
49,0.07087490750312192,1.0153973206773828,0.0561303253559488,1.1402242338915207,0.6496524782660567,0.010000000000000002,0.10050557724506962,0.2992965477099838,0.4204405096689084,0.200615382240059,8.604256951697066,1.9800000000000002,0.721721435723816,1.7076892145203548,5.361300197322621,4.729008683395586,0.2,1.3117343421716066,0.3919458758131908,2.5655309451583825,2.5868679806000947,
50,0.07652742683650096,1.0000982571473684,0.058008025140298125,1.4067205119398738,0.8554786078262647,0.010000000000000002,0.10220739910288867,0.22481791264536266,0.5859026388302458,0.2032179633682876,7.506659605014001,1.9800000000000002,0.22755693361447582,1.3034933534862474,5.900008864406326,6.117386337757774,0.2,1.7902910214351162,0.7307201746717162,2.4033792034720887,2.437236189789453,
51,0.08291616973120278,0.9686283612934018,0.05480435838317299,1.4958219779465738,1.1262241428119046,0.010000000000005017,0.10700053781151339,0.14883628816763395,0.8083085012876129,0.2129786209454653,6.343124506475309,1.9800000000000002,0.22000005069331074,0.5747798691860437,6.167832257445429,7.557457302387165,0.2,1.7988434315434783,1.4246543283140345,2.194551427109781,2.251450371303585,
52,0.08857705576573045,0.9223879780171147,0.047660411220336665,1.3628114814677583,1.3738184532495556,0.010000000000000002,0.11759792074199409,0.10510033337958324,1.0253507804272743,0.24387904153616366,4.24192725984325,1.9800000000000002,0.22000000000000003,0.23631723397180376,5.640636846478051,8.81349460529308,0.2,1.7993589946658883,1.7771879157163823,1.983825868832389,2.112800520553729,
53,0.09118362080619952,0.8245951541025631,0.037529961647373676,1.0985578773319977,1.5059170236879555,0.010000000000000002,0.14266617505739915,0.10002936175489352,1.240894842458849,0.33018485527997427,1.988044065402283,1.9800000000000002,0.22000018954213058,0.2200455834424996,4.740968491852038,9.626631025280048,0.2,1.7996509138519587,1.796292415856652,1.75912141551883,2.009578710611414,
54,0.0910301711808155,0.7341861671117671,0.024266911693124074,0.7752047161204519,1.4801264414356379,0.010001521484936778,0.19789368928077194,0.10004254982622832,1.4724585370119925,0.47105852157418654,1.6159217842325253,1.9800000000000002,0.2200026659707646,0.22037918968233877,4.023994279508653,9.866516855852346,0.2,1.7997293854828231,1.7974069806659043,1.5125000257631793,1.888114983760826,
55,0.08835430909638843,0.6768397622850094,0.014781838484698,0.5230302382832415,1.296606200434719,0.01003453537695793,0.2797077138232434,0.10000486821005698,1.7108410725411176,0.6000209644093146,1.6065952622362476,1.9800000000000002,0.2200262677802624,0.22161123511564304,3.3530305735281716,9.640347543210854,0.2,1.7995790868249393,1.797049566139537,1.2757073450940573,1.7445265286965186,
56,0.08329353443671339,0.6554109409365722,0.01118956476668131,0.4252957338110317,1.0290932228847314,0.010305823152854929,0.33842735297537807,0.10000279355310353,1.9060515867677672,0.7192109605758494,1.6424134208548482,1.9800000000000002,0.22059529493954863,0.22429720981074092,2.7179679624607584,9.031836561711629,0.2,1.7986929186408718,1.7946628714982058,1.1138527418914188,1.63239844820358,
57,0.07684338224444233,0.6596897179624238,0.010332659972558236,0.40331212891204116,0.78628854746692,0.010960260207104779,0.39913448290041936,0.10000974069750419,2.0557841895479134,0.8645516090825079,1.7715546275447565,1.9800000000000002,0.22524007758585005,0.22966607596914276,2.131518369274709,8.0821070435208,0.2,1.793648478108627,1.7890376502355818,1.010127604884755,1.5639521762555606,
58,0.07078835541946933,0.6853456137518565,0.010255784586040555,0.4004732925577627,0.6170194077585733,0.011201244743422885,0.4432564952243804,0.10002051459664991,2.107022403844956,1.0264363959508052,2.127083085671213,1.9800000000000002,0.2504041659770447,0.24156806145495538,1.6373497750505208,6.789991595038327,0.2,1.7684114601412921,1.776468037658486,0.9755005989986837,1.5425843397787198,
59,0.06661232065250319,0.729092307987999,0.010445226785316154,0.4001429219148886,0.5144969635213641,0.011238950308960955,0.5053355891426805,0.10005369813950113,2.0822547937461104,1.1382614604008943,2.645801715319368,1.9800000000000002,0.36247579729102664,0.27407931360305754,1.2638518684515045,5.1294673690546855,0.2,1.6592888787471671,1.7431731403131643,0.9893219195562544,1.5511938472095563,
60,0.06375550743038709,0.7814496387326432,0.010965644363076647,0.4001236590782549,0.45687320725663905,0.011609010980135816,0.5500543260572958,0.10025493253064875,2.015093936808923,1.2286779736132991,3.524216342192519,1.9800000000000002,0.6585263079376134,0.3822451493627226,1.017735133734645,3.5792548479225976,0.2,1.3799939122255176,1.6346634480775901,1.0385366488050443,1.582563241932276,
61,0.06210787990075828,0.8302146770195433,0.012110885565436977,0.4003319262959182,0.4271485023728345,0.012499096918138355,0.582557465732632,0.1014735084982986,1.8997682515450074,1.275990063868941,4.946716004440405,1.9800000000000002,1.1635430824897668,0.5800952322810347,0.9313415654154636,2.2254328207126823,0.2,0.9191329541313049,1.438485822642382,1.1322111600128233,1.6424955388609932,
62,0.06111345021709535,0.8735354420749173,0.013936329019080988,0.40144805057721894,0.41238640494100465,0.014062130625519541,0.5944605694408505,0.10936374430876047,1.723282938712852,1.2781335302218726,7.49781637663931,1.9800000000000002,1.7806588240463486,0.8966636567574954,1.0124325724635252,1.5651813258602056,0.2,0.37467682200681635,1.1382316561860448,1.2866117516536544,1.7382355351920513,
63,0.06063602922251844,0.9221016625291235,0.016656931891962448,0.4068655717892145,0.4056287724258096,0.01645894121325312,0.5818796457688536,0.1585531402153068,1.4729941851960968,1.2299549180468143,10.182820248389374,1.9800000000000002,1.9550394136295635,1.710796579633431,1.2651372378788532,1.3035963980216287,0.2,0.21717687795718263,0.4290734701120146,1.5215530527365568,1.88023839519194,
64,0.06058484469712325,0.9642602010682949,0.02079005131438988,0.42710580670963383,0.4039209563977927,0.019628927915281303,0.535490462334101,0.25052018855742586,1.1180781294559519,1.112800012737648,13.114308571624337,1.9800000000000002,1.9319935046415362,1.9711917402918913,2.1278473664373005,1.2363552100526092,0.2,0.23216313462842145,0.2054484413394772,1.875344103122202,2.098248372187409,
65,0.060991681929670465,0.9834217142193243,0.026783469844787553,0.48960517175934165,0.40839824361648,0.022291424764634214,0.4280801675834641,0.42764001436657434,0.6402094128363797,0.8529831415662049,13.891558506759694,1.9800000000000002,1.8854276971409452,1.9625716453697255,2.888372821807434,1.2814691001375238,0.2,0.26626986513837847,0.21023487118305453,2.361778463764635,2.4258070516559225,
66,0.062076634188821714,1.0087744593737087,0.03369360187401313,0.5948130798040718,0.42987007234219143,0.018554132447381574,0.2545274224196205,0.4843374731846809,0.38655138264483474,0.5040972739105412,13.814439966173094,1.9800000000000002,1.8231229529519581,1.9442344011587076,3.522084456637511,1.5693849515002403,0.2,0.31330829046903397,0.22148012955104432,2.6155662083068254,2.6288290731758894,
67,0.06422693581273778,1.0187988316458574,0.041386770123279557,0.8435697870633123,0.4746419456490312,0.010735180127732445,0.13291972817485928,0.4871794122511272,0.3317874396273738,0.23618670988533744,12.954363160880273,1.9800000000000002,1.7307303561181304,1.9197393126968416,4.102878746008437,2.262679818196358,0.2,0.3876445304055619,0.2370402733442149,2.665144948271391,2.674766392275884,
68,0.0673136677832258,1.0191354410725655,0.04824563110242454,0.9434493687341365,0.6207033118553548,0.01000195262229361,0.10804095181444245,0.4528318606857845,0.33168102554898843,0.2009794912198748,11.364788648517967,1.9800000000000002,1.5491701721797342,1.8817465275289933,4.654449503414753,3.219321071724289,0.2,0.5457309868273413,0.26292160099406386,2.6588703002658463,2.6711764786363954,
69,0.07412551188730739,1.0043162137690147,0.0523450987980605,1.1344742618633104,0.740899834958229,0.010000000335102182,0.10315067490664359,0.3849830402559126,0.35607649423049015,0.20109589135270023,9.889708763533415,1.9800000000000002,1.211762440081979,1.798804044302998,5.188904547110198,4.459152422654506,0.2,0.8557573172766846,0.3247438417175391,2.6279589374844385,2.6448549969512087,
70,0.07800198056814632,0.9820508645456805,0.053385366264509015,1.3120289675618726,0.9109585335026453,0.010000000000124742,0.10553601899063947,0.30680521516035186,0.4287688156460466,0.20270347194893887,8.575605963946316,1.9800000000000002,0.5284977064943508,1.617893314606843,5.687289720001593,6.0143832304520055,0.2,1.5043744477378747,0.4695187545869113,2.5518423270530466,2.576210633245662,
71,0.08253573711451817,0.9496184570420395,0.05127540844318741,1.3877778453346907,1.117205049790308,0.010000000000441572,0.10937669307067077,0.227046404433825,0.5817216868184177,0.2076257150437197,7.3962598959023955,1.9800000000000002,0.23908263611652614,1.122107773690312,6.06156662072479,7.38236876481735,0.2,1.7812042661609853,0.8982716140463602,2.403248053436468,2.440302771549064,
72,0.0860498098492175,0.8925227291130914,0.04517560804317188,1.3121422011787414,1.3154089985103061,0.01000000001346254,0.11545634765209262,0.16134174997783793,0.7743547573081391,0.22038549391279397,6.059646654053241,1.9800000000000002,0.2209113157940955,0.4593537258601953,6.111102233267995,8.57925141544461,0.2,1.7981049262042252,1.546619315395485,2.2174238772875308,2.2801073320798317,
73,0.08800190016952619,0.8141302959522889,0.03536393103219954,1.0829696111364837,1.437840849048856,0.010000023067375989,0.1255144391200422,0.12650767554335438,0.9550484593405361,0.2519695650490007,3.7622996321165707,1.9800000000000002,0.2200886645871182,0.22352615899065748,5.459651245665691,9.51591898446453,0.2,1.799048680140103,1.7924455272463176,2.033224597552516,2.156465792063884,
74,0.08852158833082746,0.7446581548564344,0.023727497627690566,0.788893976517128,1.4214978561940144,0.01000055161716921,0.1437020765994331,0.10614607480959079,1.1393082360806703,0.3187824038183949,1.9808325633682824,1.9800000000000002,0.2200220979609573,0.22316813166355923,4.582128317691996,10.020100101343463,0.2,1.7991768257896514,1.7936423790538063,1.8372571828154793,2.046975635926459,
75,0.08677121485855446,0.6899083543983784,0.015238126543074921,0.5514818546732793,1.2636352752252258,0.010007493165619356,0.19062017231350745,0.10045015105012682,1.3631410048531203,0.42352103221249343,1.67313018507366,1.9800000000000002,0.2200219124390237,0.22535760369718338,3.8559221620319692,10.0698170615578,0.2,1.7991085011979002,1.791984919636487,1.6028894829569624,1.919321274131088,
76,0.08261694089898876,0.6696149526219779,0.011555092036814905,0.44329207634647627,1.0234780441537072,0.01007187553375177,0.22816204041820265,0.10003355308382916,1.592440295015571,0.5571350677783327,1.6199024006941918,1.9800000000000002,0.22008919912232514,0.2282742590202503,3.1790605184383542,9.69960812392723,0.2,1.7988836246939954,1.7893732215285798,1.3785942391194448,1.795422234553514,
77,0.0768415059227614,0.6694131343458908,0.010627560080430736,0.40618132775185123,0.7973374936115439,0.010474469534053125,0.2930009235416201,0.10003748239625157,1.7824835823710408,0.6660316290665234,1.6468665083793483,1.9800000000000002,0.22108836006252686,0.23211114667712665,2.5391504122352093,8.991809038533468,0.2,1.7976535600382382,1.7855880896273686,1.219111391891121,1.6980245672323204,
78,0.071294443655145,0.6908934624511825,0.010530871829471452,0.40113409150446605,0.6288305942689555,0.011148815510766224,0.348037549376961,0.10004717370084924,1.9115406358898492,0.7893319343823172,1.7174443962302752,1.9800000000000002,0.22738805983718,0.23728080156449777,1.9891114189747094,7.992264494563823,0.2,1.7911120213068568,1.7802694784373507,1.1249181913051847,1.6366687434737337,
79,0.06698863367864039,0.7297560303486179,0.010783644978141629,0.4004046107715042,0.5238219387226247,0.01196514407146584,0.3985060002549303,0.1000701655841002,1.9796424332590103,0.9198822876453089,1.899957342839626,1.9800000000000002,0.2653631738904782,0.24866181657595468,1.5406991522516877,6.561672426073537,0.2,1.7534909862687158,1.7685482208303263,1.0752530126262416,1.6058333370397,
80,0.06408384976316049,0.781555737185848,0.011439270307871445,0.4003956439950588,0.4638938308618233,0.01235895862003654,0.44447997393515565,0.10015185154966114,1.9891586542529778,1.0420781092614946,2.2170769705963305,1.9800000000000002,0.40476997294017847,0.28897584105625373,1.218883299922172,4.8173354705978815,0.2,1.618494140528985,1.727963526176878,1.0663401043317564,1.600380798427709,
81,0.06231434828085015,0.8355884871889012,0.012601118367146051,0.4008965144973317,0.43175949205134573,0.012654581505204503,0.4854395039242017,0.10039639536909906,1.9551029646360223,1.123280477331269,2.5975765158704274,1.9800000000000002,0.7379602933036041,0.3990033155022901,1.015381952720332,3.311441194884347,0.2,1.3051734167096063,1.6180687544432604,1.0912077666687423,1.6156873438565826,
82,0.061407258909891405,0.8872235463571835,0.01454175298305095,0.4027562995373493,0.41544582122103785,0.013145039789751775,0.5138171149915908,0.10111796290112574,1.8874270818455021,1.1714191908945133,3.286146227116082,1.9800000000000002,1.2123519829009537,0.5950715282011699,0.9595486559535407,2.08891067855577,0.2,0.8759662142512239,1.4240938016016185,1.1466138910770145,1.6501867539427348,
83,0.061036458951296745,0.9324090729269161,0.01734457599049283,0.40847644693162494,0.4079331840880344,0.013880389125252126,0.5298418887648065,0.10379957992929166,1.7848896270387482,1.1889380954465807,4.792174426386408,1.9800000000000002,1.7682409020381322,0.8698511708333052,1.0503686714277725,1.5300749685316475,0.2,0.3809852971557929,1.1661755571127146,1.236075578024804,1.7062497791399798,
84,0.06114537529540386,0.9554588765173436,0.021514673591484002,0.42537139487905967,0.4057417366614027,0.014980764711712375,0.5298666312962146,0.1165354749317277,1.6414738443625767,1.1743422144823596,6.848896471987346,1.9800000000000002,1.897372094538334,1.6875410620663143,1.2762778373826016,1.302824433933182,0.2,0.25851099721255316,0.4449003775177867,1.368678231165158,1.7876706282125931,
85,0.06161221296223385,0.9760434635273398,0.026511136552816558,0.4617863016409701,0.4096537516980439,0.016404740057131946,0.5090298223740557,0.14967458020600968,1.449212700469252,1.1169701224565074,11.77722397886728,1.9800000000000002,1.8578763903210942,1.9500114738377197,2.1329688997387737,1.2436746853903404,0.2,0.2883313893135239,0.21843426098317237,1.5546079142025058,1.9007310423030224,
86,0.06243292652597262,0.9933665690086929,0.03194469071037383,0.5356806029048755,0.421921444647206,0.017898490678375886,0.42346495241970655,0.303251643887088,1.1982444135597876,0.9812005636280408,13.509524577590359,1.9800000000000002,1.8193603272370706,1.9331314940929933,2.9114749935244597,1.3018813973977819,0.2,0.3172121699489266,0.22882263687093995,1.8051095431856186,2.052504541949112,
